x,y
-90.0922,43.0274
-89.22738373,48.49862786
-89.22738373,48.49862786
-63.83020617,45.00312591
-63.83020617,45.00312591
-62.618593,46.011942
-89.22738373,48.49862786
-64.671138,45.913154
-65.6105,45.8172
-65.6105,45.8172
-64.671138,45.913154
-65.43991,45.61596
-64.47694,45.93694
-65.43991,45.61596
-65.43991,45.61596
-65.6105,45.8172
-74.09854816,41.84451537
-64.671138,45.913154
-64.47694,45.93694
-62.618593,46.011942
-74.09854816,41.84451537
-77.386111,40.888611
-74.96885541,40.87738565
-79.430161,38.664936
-80.100126,48.174337
-87.304069,36.555459
-73.226607,42.87199
-73.158474,41.745701
-80.756189,37.322157
-73.226242,42.592351
-86.220835,34.574328
-121.5394188,47.5508946
-73.158474,41.745701
-82.328933,36.509321
-78.82067,39.69717
-74.28848912,41.94997136
-72.942555,43.45117
-80.100126,48.174337
-84.971274,36.465316
-64.47694,45.93694
-90.88167,39.04861
-82.63946944,36.96823406
-87.304069,36.555459
-86.29491,38.22991
-86.23360382,38.70202644
-75.5638,39.8387
-68.21107,44.349652
-79.911533,43.468915
-64.167955,44.992969
-66.05055,45.30029
-64.47694,45.93694
